full_name,gender,birthdate,civil_status,address,contact_number,email,occupation
"Dan Y. Jimenez",male,1980-08-17,married,"58 Bonifacio Rd., Purok 3, Brgy. San Jose, Cagayan de Oro City",09534901359,dan.jimenez1@sample.mail,Teacher
"Faith I. Pascual",male,1963-02-21,separated,"164 Del Pilar St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09307996413,faith.pascual2@sample.mail,Tailor
"Angelica Y. Flores",female,1994-04-28,widowed,"396 Luna St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09884936641,angelica.flores3@sample.mail,Nurse
"Jenny H. Pascual",male,1976-07-15,single,"586 Del Pilar St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09429934555,jenny.pascual4@sample.mail,Driver
"Hope G. Garcia",male,1976-01-26,divorced,"757 Luna St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09814251350,hope.garcia5@sample.mail,"Barangay Staff"
"Bea S. Jimenez",female,1996-05-09,widowed,"484 Rizal St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09961659956,bea.jimenez6@sample.mail,Nurse
"Ian G. Santiago",male,1972-05-26,separated,"135 Bonifacio Rd., Purok 3, Brgy. San Jose, Cagayan de Oro City",09982054423,ian.santiago7@sample.mail,Farmer
"Paul L. Morales",female,1963-10-19,married,"91 Del Pilar St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09621600328,paul.morales8@sample.mail,Electrician
"Rosa C. Reyes",female,1971-09-14,single,"528 Aguinaldo St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09626853432,rosa.reyes9@sample.mail,Mechanic
"Ramon H. Santos",male,1968-02-23,single,"598 Del Pilar St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09447358225,ramon.santos10@sample.mail,Clerk
"Joy E. Reyes",female,1967-03-17,married,"582 Mabini Ave., Purok 4, Brgy. San Jose, Cagayan de Oro City",09926551851,joy.reyes11@sample.mail,OFW
"Dan J. Valdez",female,2002-05-13,separated,"641 Mabini Ave., Purok 1, Brgy. San Jose, Cagayan de Oro City",09115148429,dan.valdez12@sample.mail,"Barangay Staff"
"Carlo W. Aquino",male,1958-02-14,divorced,"676 Quezon Ave., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09232251517,carlo.aquino13@sample.mail,Farmer
"Roberto K. Flores",male,1970-11-28,separated,"985 Burgos St., Purok 1, Brgy. San Jose, Cagayan de Oro City",09718119322,roberto.flores14@sample.mail,Nurse
"Grace L. Ramos",female,1982-08-15,separated,"224 Del Pilar St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09734858253,grace.ramos15@sample.mail,"Barangay Staff"
"Grace G. Dela Cruz",male,1971-05-04,single,"830 Del Pilar St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09114182179,grace.delacruz16@sample.mail,Mechanic
"Ana H. Villanueva",other,1984-07-03,married,"77 Mabini Ave., Purok 3, Brgy. San Jose, Cagayan de Oro City",09733405018,ana.villanueva17@sample.mail,"Sales Associate"
"Pedro Y. Valdez",male,1989-12-03,single,"131 Burgos St., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09375670603,pedro.valdez18@sample.mail,Farmer
"Maria T. Soriano",female,2003-09-14,separated,"23 Mabini Ave., Purok 1, Brgy. San Jose, Cagayan de Oro City",09256443303,maria.soriano19@sample.mail,Housewife
"Noel Z. Morales",female,1968-08-18,divorced,"54 Mabini Ave., Purok 3, Brgy. San Jose, Cagayan de Oro City",09532432761,noel.morales20@sample.mail,"Sales Associate"
"Rica K. Cruz",female,1984-05-27,separated,"50 Aguinaldo St., Purok 1, Brgy. San Jose, Cagayan de Oro City",09107632760,rica.cruz21@sample.mail,Chef
"Albert E. Castillo",female,1962-06-15,married,"550 Quezon Ave., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09463876656,albert.castillo22@sample.mail,Accountant
"Pedro B. Evangelista",female,1958-10-05,single,"461 Quezon Ave., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09231047333,pedro.evangelista23@sample.mail,Chef
"Ryan I. Soriano",female,1958-07-28,divorced,"641 Mabini Ave., Purok 3, Brgy. San Jose, Cagayan de Oro City",09136973781,ryan.soriano24@sample.mail,Nurse
"Ramon D. Martinez",female,1965-08-05,single,"854 Aguinaldo St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09967733558,ramon.martinez25@sample.mail,"Security Guard"
"Leo M. Aquino",male,1961-11-10,separated,"252 Aguinaldo St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09614661815,leo.aquino26@sample.mail,Electrician
"Ryan U. Santiago",female,1958-04-25,married,"803 Del Pilar St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09222548929,ryan.santiago27@sample.mail,Driver
"Hope I. Morales",female,1962-08-09,separated,"732 Bonifacio Rd., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09833720382,hope.morales28@sample.mail,Driver
"Grace N. Santiago",male,1997-08-14,widowed,"142 Bonifacio Rd., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09957563320,grace.santiago29@sample.mail,Accountant
"Francis C. Morales",male,1986-05-05,married,"775 Bonifacio Rd., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09806766298,francis.morales30@sample.mail,Tailor
"Carmen Q. Cruz",male,2001-08-12,widowed,"5 Quezon Ave., Purok 3, Brgy. San Jose, Cagayan de Oro City",09117415783,carmen.cruz31@sample.mail,Accountant
"Antonio D. Ramos",female,1977-07-02,married,"856 Rizal St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09513043830,antonio.ramos32@sample.mail,Farmer
"Carmen G. Ramos",male,1987-12-08,separated,"70 Rizal St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09159523023,carmen.ramos33@sample.mail,Accountant
"Eduardo D. Castillo",other,1998-08-13,divorced,"612 Del Pilar St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09302479064,eduardo.castillo34@sample.mail,Driver
"Mark X. Villanueva",female,1978-07-26,married,"902 Mabini Ave., Purok 2, Brgy. San Jose, Cagayan de Oro City",09184647509,mark.villanueva35@sample.mail,Vendor
"Ian H. Villanueva",male,1997-11-27,single,"228 Del Pilar St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09996413676,ian.villanueva36@sample.mail,Driver
"Maya O. Navarro",male,1992-05-17,separated,"398 Aguinaldo St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09856964245,maya.navarro37@sample.mail,"Sales Associate"
"Jenny X. Navarro",female,1973-01-11,separated,"59 Del Pilar St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09525122137,jenny.navarro38@sample.mail,Chef
"Kyle H. Navarro",male,1994-09-08,separated,"33 Bonifacio Rd., Purok 3, Brgy. San Jose, Cagayan de Oro City",09387979210,kyle.navarro39@sample.mail,Housewife
"Faith I. Mendoza",female,1999-08-20,widowed,"529 Quezon Ave., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09797768153,faith.mendoza40@sample.mail,Mechanic
"Carmen A. Jimenez",female,1981-04-06,separated,"980 Rizal St., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09118765963,carmen.jimenez41@sample.mail,Engineer
"Kyle Z. Dela Cruz",female,1972-02-28,married,"247 Del Pilar St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09171730819,kyle.delacruz42@sample.mail,Tailor
"Michelle C. Villanueva",male,1971-09-19,single,"816 Burgos St., Purok 1, Brgy. San Jose, Cagayan de Oro City",09103348541,michelle.villanueva43@sample.mail,Driver
"Ana A. Aquino",male,1992-01-14,divorced,"359 Bonifacio Rd., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09908672757,ana.aquino44@sample.mail,Vendor
"Rosa F. Lopez",male,1980-02-26,divorced,"604 Bonifacio Rd., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09309641379,rosa.lopez45@sample.mail,Chef
"Christine I. Dela Cruz",female,1991-04-15,married,"604 Rizal St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09711088672,christine.delacruz46@sample.mail,Carpenter
"Juan Z. Fernandez",male,2000-05-25,divorced,"353 Luna St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09918689259,juan.fernandez47@sample.mail,Nurse
"Patricia D. Perez",male,1970-11-09,widowed,"644 Aguinaldo St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09873837005,patricia.perez48@sample.mail,Teacher
"Patricia R. Jimenez",male,1981-11-09,separated,"163 Luna St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09494105359,patricia.jimenez49@sample.mail,Farmer
"Ian I. Morales",female,1998-02-20,single,"408 Bonifacio Rd., Purok 4, Brgy. San Jose, Cagayan de Oro City",09202549711,ian.morales50@sample.mail,"Barangay Staff"
"Leo A. Navarro",other,2004-01-17,married,"561 Luna St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09126321735,leo.navarro51@sample.mail,Nurse
"Carlo I. Mendoza",female,1968-02-06,divorced,"642 Luna St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09577317249,carlo.mendoza52@sample.mail,Electrician
"Miguel S. Tolentino",male,1990-09-19,widowed,"507 Rizal St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09362743367,miguel.tolentino53@sample.mail,"Security Guard"
"Juan H. Morales",male,1969-03-19,divorced,"129 Mabini Ave., Purok 2, Brgy. San Jose, Cagayan de Oro City",09647015277,juan.morales54@sample.mail,Farmer
"Carlo B. Soriano",female,1975-08-06,separated,"79 Del Pilar St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09801107203,carlo.soriano55@sample.mail,Housewife
"Kyle Y. Flores",male,1986-02-20,single,"78 Bonifacio Rd., Purok 2, Brgy. San Jose, Cagayan de Oro City",09762969188,kyle.flores56@sample.mail,Driver
"Liza K. Castillo",female,1969-09-05,single,"288 Del Pilar St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09461921464,liza.castillo57@sample.mail,Tailor
"Michelle N. Rivera",female,1985-07-07,married,"75 Burgos St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09368985672,michelle.rivera58@sample.mail,Carpenter
"Dan B. Morales",male,1970-10-11,married,"238 Rizal St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09558174535,dan.morales59@sample.mail,Nurse
"Grace O. Torres",male,1992-07-23,separated,"265 Rizal St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09877362477,grace.torres60@sample.mail,"Security Guard"
"Carlo D. Salazar",female,1994-05-24,married,"818 Burgos St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09965536617,carlo.salazar61@sample.mail,Chef
"Maya E. Rivera",male,2001-05-26,separated,"315 Quezon Ave., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09669332550,maya.rivera62@sample.mail,Student
"Carmen O. Evangelista",male,1961-04-07,separated,"772 Bonifacio Rd., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09826841144,carmen.evangelista63@sample.mail,"Sales Associate"
"Rosa K. Mendoza",male,1968-07-24,divorced,"455 Mabini Ave., Purok 4, Brgy. San Jose, Cagayan de Oro City",09967515830,rosa.mendoza64@sample.mail,Farmer
"Leo J. Mendoza",male,2003-12-18,widowed,"399 Mabini Ave., Purok 4, Brgy. San Jose, Cagayan de Oro City",09221156270,leo.mendoza65@sample.mail,Clerk
"Hope N. Flores",male,1989-07-21,single,"284 Quezon Ave., Purok 3, Brgy. San Jose, Cagayan de Oro City",09455893183,hope.flores66@sample.mail,Vendor
"Jose B. Ramos",female,1972-02-15,separated,"406 Quezon Ave., Purok 1, Brgy. San Jose, Cagayan de Oro City",09745985734,jose.ramos67@sample.mail,Teacher
"Kyle Z. Rivera",other,1970-08-19,separated,"460 Burgos St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09215114802,kyle.rivera68@sample.mail,Chef
"Antonio C. Reyes",male,1989-10-21,single,"156 Luna St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09525066443,antonio.reyes69@sample.mail,Accountant
"Liza H. Pascual",female,1958-02-11,widowed,"215 Quezon Ave., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09689292646,liza.pascual70@sample.mail,Electrician
"Joy D. Pascual",female,2004-05-26,single,"411 Aguinaldo St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09517106072,joy.pascual71@sample.mail,Housewife
"Bea K. Castillo",female,1962-10-26,divorced,"411 Quezon Ave., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09259110821,bea.castillo72@sample.mail,Driver
"Mark J. Pascual",female,1960-10-17,separated,"980 Bonifacio Rd., Purok 2, Brgy. San Jose, Cagayan de Oro City",09585842604,mark.pascual73@sample.mail,Fisherman
"Carlo V. Lopez",male,1985-10-21,divorced,"844 Rizal St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09965947882,carlo.lopez74@sample.mail,Teacher
"Liza N. Salazar",female,1961-02-21,married,"410 Luna St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09392592942,liza.salazar75@sample.mail,Teacher
"Ramon T. Pascual",male,1985-07-09,widowed,"715 Luna St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09451049771,ramon.pascual76@sample.mail,"Security Guard"
